overall_time,state,accel_time,accel_x,accel_y,accel_z,orien_time,real,i,j,k,temp,new_accel,orien_cali_status
17261,0,17263,0.07896314561367035,-0.11006984114646912,9.860821723937988,17263,0.62457275390625,-0.009765625,-0.00384521484375,0.78094482421875,19,1,0
17263,0,17271,0.07896314561367035,-0.10767702013254166,9.860821723937988,17270,0.62457275390625,-0.009765625,-0.00390625,0.78094482421875,19,1,0
17271,0,17272,0.07896314561367035,-0.10887342691421509,9.860821723937988,17272,0.62445068359375,-0.00927734375,-0.00384521484375,0.781005859375,19,1,0
17272,0,17273,0.07896314561367035,-0.10887342691421509,9.860821723937988,17272,0.62445068359375,-0.00927734375,-0.00384521484375,0.781005859375,19,1,-1
17273,0,17273,0.07896314561367035,-0.10887342691421509,9.860821723937988,17272,0.62445068359375,-0.00927734375,-0.00384521484375,0.781005859375,19,0,-1
17273,0,17273,0.07896314561367035,-0.10887342691421509,9.860821723937988,17272,0.62445068359375,-0.00927734375,-0.00384521484375,0.781005859375,19,0,-1
17273,0,17275,0.07896314561367035,-0.10887342691421509,9.860821723937988,17274,0.62445068359375,-0.00927734375,-0.00384521484375,0.78094482421875,19,1,0
17275,0,17275,0.07776673883199692,-0.10887342691421509,9.860821723937988,17274,0.62445068359375,-0.00927734375,-0.00384521484375,0.78094482421875,19,1,-1
17275,0,17275,0.07776673883199692,-0.10887342691421509,9.860821723937988,17274,0.62445068359375,-0.00927734375,-0.00384521484375,0.78094482421875,19,0,-1
17276,0,17276,0.07896314561367035,-0.10767702013254166,9.860821723937988,17274,0.62445068359375,-0.00927734375,-0.00384521484375,0.78094482421875,19,1,-1
17276,0,17278,0.07896314561367035,-0.10887342691421509,9.860821723937988,17277,0.62451171875,-0.00927734375,-0.00384521484375,0.78094482421875,19,1,0
17278,0,17278,0.07896314561367035,-0.10887342691421509,9.860821723937988,17277,0.62451171875,-0.00927734375,-0.00384521484375,0.78094482421875,19,0,-1
17278,0,17279,0.07896314561367035,-0.10887342691421509,9.860821723937988,17279,0.62451171875,-0.00927734375,-0.00384521484375,0.78094482421875,19,1,0
17279,0,17280,0.07896314561367035,-0.10887342691421509,9.860821723937988,17279,0.62451171875,-0.00927734375,-0.00384521484375,0.78094482421875,19,1,-1
17280,0,17280,0.07896314561367035,-0.10887342691421509,9.860821723937988,17279,0.62451171875,-0.00927734375,-0.00384521484375,0.78094482421875,19,0,-1
17280,0,17280,0.07896314561367035,-0.10887342691421509,9.860821723937988,17279,0.62451171875,-0.00927734375,-0.00384521484375,0.78094482421875,19,0,-1
17281,0,17281,0.07776673883199692,-0.10887342691421509,9.860821723937988,17279,0.62451171875,-0.00927734375,-0.00384521484375,0.78094482421875,19,1,-1
17281,0,17283,0.07776673883199692,-0.10887342691421509,9.860821723937988,17282,0.62445068359375,-0.00927734375,-0.00384521484375,0.78094482421875,19,1,0
17283,0,17283,0.07776673883199692,-0.10887342691421509,9.860821723937988,17282,0.62445068359375,-0.00927734375,-0.00384521484375,0.78094482421875,19,0,-1
17283,0,17284,0.07896314561367035,-0.10887342691421509,9.860821723937988,17282,0.62445068359375,-0.00927734375,-0.00384521484375,0.78094482421875,19,1,-1
17284,0,17284,0.07896314561367035,-0.10887342691421509,9.860821723937988,17282,0.62445068359375,-0.00927734375,-0.00384521484375,0.78094482421875,19,0,-1
17284,0,17284,0.07896314561367035,-0.10887342691421509,9.860821723937988,17282,0.62445068359375,-0.00927734375,-0.00384521484375,0.78094482421875,19,0,-1
17284,0,17285,0.07896314561367035,-0.10887342691421509,9.860821723937988,17282,0.62445068359375,-0.00927734375,-0.00384521484375,0.78094482421875,19,1,-1
17285,0,17286,0.07896314561367035,-0.10887342691421509,9.860821723937988,17286,0.62445068359375,-0.00927734375,-0.00384521484375,0.781005859375,19,1,0
17286,0,17287,0.07896314561367035,-0.11006984114646912,9.860821723937988,17286,0.62445068359375,-0.00927734375,-0.00384521484375,0.781005859375,19,1,-1
17287,0,17287,0.07896314561367035,-0.11006984114646912,9.860821723937988,17286,0.62445068359375,-0.00927734375,-0.00384521484375,0.781005859375,19,0,-1
17287,0,17287,0.07896314561367035,-0.11006984114646912,9.860821723937988,17286,0.62445068359375,-0.00927734375,-0.00384521484375,0.781005859375,19,0,-1
17287,0,17288,0.07896314561367035,-0.11006984114646912,9.860821723937988,17286,0.62445068359375,-0.00927734375,-0.00384521484375,0.781005859375,19,1,-1
17288,0,17288,0.07896314561367035,-0.11006984114646912,9.860821723937988,17286,0.62445068359375,-0.00927734375,-0.00384521484375,0.781005859375,19,0,-1
17288,0,17288,0.07896314561367035,-0.11006984114646912,9.860821723937988,17286,0.62445068359375,-0.00927734375,-0.00384521484375,0.781005859375,19,0,-1
17289,0,17289,0.07896314561367035,-0.11006984114646912,9.860821723937988,17286,0.62445068359375,-0.00927734375,-0.00384521484375,0.781005859375,19,1,-1
17289,0,17291,0.07896314561367035,-0.11006984114646912,9.860821723937988,17290,0.62445068359375,-0.00933837890625,-0.00384521484375,0.781005859375,19,1,0
17291,0,17291,0.07896314561367035,-0.11006984114646912,9.860821723937988,17290,0.62445068359375,-0.00933837890625,-0.00384521484375,0.781005859375,19,0,-1
17291,0,17292,0.07896314561367035,-0.11006984114646912,9.860821723937988,17290,0.62445068359375,-0.00933837890625,-0.00384521484375,0.781005859375,19,1,-1
17292,0,17292,0.07896314561367035,-0.11006984114646912,9.860821723937988,17290,0.62445068359375,-0.00933837890625,-0.00384521484375,0.781005859375,19,0,-1
17292,0,17292,0.07896314561367035,-0.11006984114646912,9.860821723937988,17290,0.62445068359375,-0.00933837890625,-0.00384521484375,0.781005859375,19,0,-1
17292,0,17293,0.07896314561367035,-0.11006984114646912,9.860821723937988,17290,0.62445068359375,-0.00933837890625,-0.00384521484375,0.781005859375,19,1,-1
